# timecode file relating frames of AVI file to AER timestamps
# written at..
# timestamp

0 200124143
1 200125143
2 200126143
3 200127143
4 200128143
5 200129143
6 200130143
7 200131143
8 200132143
9 200133143
10 200134143
11 200135143
12 200136143
13 200137143
14 200138143
15 200139143
16 200140143
17 200141143
18 200142143
19 200143143
20 200144143
21 200145143
22 200146143
23 200147143
24 200148143
25 200149143
26 200150143
27 200151143
28 200152143
29 200153143
30 200154143
31 200155143
32 200156143
33 200157143
34 200158143
35 200159143
36 200160143
37 200161143
38 200162143
39 200163143
40 200164143
41 200165143
42 200166143
43 200167143
44 200168143
45 200169143
46 200170143
47 200171143
48 200172143
49 200173143
50 200174143
51 200175143
52 200176143
53 200177143
54 200178143
55 200179143
56 200180143
57 200181143
58 200182143
59 200183143
60 200184143
61 200185143
62 200186143
63 200187143
64 200188143
65 200189143
66 200190143
67 200191143
68 200192143
69 200193143
70 200194143
71 200195143
72 200196143
73 200197143
74 200198143
75 200199143
76 200200143
77 200201143
78 200202143
79 200203143
80 200204143
81 200205143
82 200206143
83 200207143
84 200208143
85 200209143
86 200210143
87 200211143
88 200212143
89 200213143
90 200214143
91 200215143
92 200216143
93 200217143
94 200218143
95 200219143
96 200220143
97 200221143
98 200222143
99 200223143
